"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value","UniprotID"
"ABUW_0008","ABUW_0008","RND type efflux pump",-3.318772375666,2.17280583618336,0.29234543752411,1,"WP_000746542.1"
"ABUW_0009","ABUW_0009","RND type efflux pump",-2.66780777368951,2.02401134271864,0.500635399121533,1,"WP_000724999.1"
"ABUW_0010","adeT","RND type efflux pump",-3.30934975130337,2.16000123726249,0.250953098682292,1,"WP_000712907.1"
"ABUW_0020","ABUW_0020","glutathione S-transferase",3.59237439230774,11.8346789445325,0.00197273680937914,0.0810421608177374,"WP_000587889.1"
"ABUW_0021","ABUW_0021","hypothetical protein",-2.19186783462656,1.93057900459029,0.999999999999975,1,"WP_000698067.1"
"ABUW_0022","ABUW_0022","sodium-and chloride-dependent transporter",-1.47650815239268,1.8197112660932,1,1,"WP_000132725.1"
"ABUW_0024","sun","ribosomal RNA small subunit methyltransferase B",-5.34749457973177,3.06440951914735,0.0450168498076699,0.608574471967827,"no data"
"ABUW_0026","ilvD","dihydroxy-acid dehydratase",0.208914486659969,2.40630460800811,1,1,"WP_001113590.1"
"ABUW_0027","ABUW_0027","hypothetical protein",-3.75425435558578,2.32425972605638,0.125953702745073,0.859633558125512,"WP_000055250.1"
"ABUW_0030","ABUW_0030","uracil-xanthine permease",-2.66780777368951,2.02401134271864,0.500635399121533,1,"WP_000073454.1"
"ABUW_0031","ppc","phosphoenolpyruvate carboxylase",-4.05182276136468,2.42064232810897,0.118473409128589,0.859633558125512,"WP_000250576.1"
"ABUW_0033","ABUW_0033","transcriptional regulator, TetR family",-2.59946314376966,1.99055417797053,0.558120941409483,1,"WP_001195320.1"
"ABUW_0034","ABUW_0034","secretion protein HlyD",-4.43090551503688,2.58815789732207,0.0690539732401736,0.698781864648296,"WP_001050643.1"
"ABUW_0035","ABUW_0035","RND efflux transporter",-5.55401773061681,3.18923486886846,0.0164378066010223,0.377295084539558,"WP_000671305.1"
"ABUW_0040","ABUW_0040","hypothetical protein",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_001036017.1"
"ABUW_0041","ABUW_0041","major facilitator family transporter",-2.79639969626236,2.04062523117975,0.576349804291156,1,"WP_001097146.1"
"ABUW_0042","alrA","aldo/keto reductase",-3.33218413805347,2.18639227023243,0.27308537716118,1,"no data"
"ABUW_0045","ABUW_0045","transcriptional regulator, GntR family",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_000143937.1"
"ABUW_0046","ABUW_0046","hypothetical protein",-2.19078776384674,1.91307375918052,0.999999999999975,1,"WP_000069845.1"
"ABUW_0050","mutY","A/G-specific adenine glycosylase",-1.47650815239268,1.8197112660932,1,1,"WP_001113866.1"
"ABUW_0051","ABUW_0051","histidine triad protein",-3.02302114057013,2.07668969307027,0.500635399121533,1,"WP_000130110.1"
"ABUW_0052","ABUW_0052","dienelactone hydrolase",-1.47685408929757,1.82489007978551,0.999999999999975,1,"WP_000100767.1"
"ABUW_0054","ABUW_0054","hypothetical protein",-1.47650815239268,1.8197112660932,1,1,"WP_000102818.1"
"ABUW_0056","ABUW_0056","ATPase, AAA family",-2.6667300577192,2.00732051655534,0.500635399121533,1,"WP_001285403.1"
"ABUW_0060","ABUW_0060","hypothetical protein",-1.4775908781485,1.83808860474376,0.999999999999975,1,"WP_001177091.1"
"ABUW_0062","pncA","nicotinamidase",-3.02900091674149,2.09717168726534,0.508423751634719,1,"WP_001985076.1"
"ABUW_0063","ABUW_0063","bile acid:sodium symporter",-3.01971659533865,2.08378961665514,0.504946493610349,1,"WP_001275073.1"
"ABUW_0064","ABUW_0064","MATE family drug transporter",-2.19044293082581,1.90814917360387,0.999999999999975,1,"WP_001071753.1"
