"locus_tag","gene_name","function","logFC","logCPM","PValue","q.value","UniprotID"
"ABUW_0001","dnaA","chromosomal replication initiator protein DnaA",-0.457937288961373,17.7642969727877,0.337404613909931,1,"WP_000964768.1"
"ABUW_0002","dnaN","DNA polymerase III, beta subunit",-4.10395689155752,13.4851491460036,1,1,"WP_001237350.1"
"ABUW_4001","repAci6","Replicase",-3.38506645437518,13.1481197155506,1,1,"no data"
"ABUW_4002","ABUW_4002","hypothetical protein",-0.106682843018478,18.2130439859427,1,1,"no data"
"ABUW_4003","ABUW_4003","Zeta toxin family protein",-7.39654902890141,15.9876098649575,0.0324727018958053,0.324727018958053,"WP_000258411.1"
"ABUW_5001","repAci1","DNA replication protein",-3.38506645437518,13.1481197155506,1,1,"no data"
"ABUW_5002","ABUW_5002","DNA replication protein",-0.109290585304753,18.7219487834658,1,1,"WP_001096616.1"
"ABUW_6001","ABUW_6001","replication protein",-3.38506645437518,13.1481197155506,1,1,"WP_000271233.1"
"ABUW_6002","ABUW_6002","hypothetical protein",-0.805528867201696,17.1289759999673,0.0936116886891865,0.468058443445932,"no data"
"ABUW_6003","ABUW_6003","hypothetical protein",-4.10381950110373,13.4851491460036,1,1,"WP_000290587.1"
