locus_tag	gene_name	ncrna	start	end	strand	read_count	ins_index	gene_length	ins_count	fcn
ABUW_0001	dnaA	0	95	1492	1	0	0	1398	0	"chromosomal replication initiator protein DnaA"
ABUW_0002	dnaN	0	1590	2738	1	0	0	1149	0	"DNA polymerase III, beta subunit"
ABUW_0003	recF	0	2753	3835	1	0	0	1083	0	"DNA replication, recombination and repair protein"
ABUW_0004	gyrB	0	3888	6356	1	0	0	2469	0	"DNA gyrase, B subunit"
ABUW_0005	ABUW_0005	0	6394	6786	1	0	0	393	0	"cytochrome b562"
ABUW_0006	ABUW_0006	0	6870	7427	-1	0	0	558	0	"DedA family protein"
ABUW_0007	ABUW_0007	0	7678	9609	-1	0	0	1932	0	"ABC transporter, ATP-binding protein"
ABUW_0008	ABUW_0008	0	9866	10870	1	0	0	1005	0	"RND type efflux pump"
ABUW_0009	ABUW_0009	0	11126	12133	1	0	0	1008	0	"RND type efflux pump"
ABUW_0010	adeT	0	12476	13480	1	0	0	1005	0	"RND type efflux pump"
ABUW_0011	ABUW_0011	0	13605	13940	1	0	0	336	0	"iron-sulfur cluster assembly accessory protein"
ABUW_0012	ABUW_0012	0	13998	14843	-1	0	0	846	0	"epoxide hydrolase"
ABUW_0013	anmK	0	14971	16098	-1	0	0	1128	0	"anhydro-N-acetylmuramic acid kinase"
ABUW_0014	tyrS	0	16160	17392	1	0	0	1233	0	"tyrosyl-tRNA synthetase"
ABUW_0015	ABUW_0015	0	18239	19763	1	0	0	1525	0	
ABUW_0018	ABUW_0018	0	20378	23268	1	0	0	2891	0	
ABUW_0020	ABUW_0020	0	23706	24305	1	822	0.0037037037037037	600	2	"glutathione S-transferase"
ABUW_0021	ABUW_0021	0	24363	25055	-1	0	0	693	0	"hypothetical protein"
ABUW_0022	ABUW_0022	0	25685	27163	1	0	0	1479	0	"sodium-and chloride-dependent transporter"
ABUW_0023	ABUW_0023	0	27176	27319	1	0	0	144	0	"hypothetical protein"
ABUW_0024	sun	0	27363	28667	-1	0	0	1305	0	"ribosomal RNA small subunit methyltransferase B"
ABUW_0025	fmt	0	28664	29626	-1	0	0	963	0	"methionyl-tRNA formyltransferase"
ABUW_0026	ilvD	0	29975	31804	1	0	0	1830	0	"dihydroxy-acid dehydratase"
ABUW_0027	ABUW_0027	0	32118	33407	1	0	0	1290	0	"hypothetical protein"
ABUW_0028	ABUW_0028	0	33507	34217	1	0	0	711	0	"hypothetical protein"
ABUW_0029	ABUW_0029	0	34226	35116	-1	0	0	891	0	"transcriptional regulator, LysR family"
ABUW_0030	ABUW_0030	0	35196	36491	-1	0	0	1296	0	"uracil-xanthine permease"
ABUW_0031	ppc	0	36792	39476	-1	0	0	2685	0	"phosphoenolpyruvate carboxylase"
ABUW_0032	ABUW_0032	0	39518	39634	-1	0	0	117	0	"hypothetical protein"
ABUW_0033	ABUW_0033	0	39647	40270	-1	0	0	624	0	"transcriptional regulator, TetR family"
ABUW_0034	ABUW_0034	0	40420	41520	1	0	0	1101	0	"secretion protein HlyD"
ABUW_0035	ABUW_0035	0	41523	44648	1	0	0	3126	0	"RND efflux transporter"
ABUW_0036	ABUW_0036	0	44788	45165	1	0	0	378	0	"hypothetical protein"
ABUW_0037	dnaJ	0	45270	46382	1	0	0	1113	0	"chaperone protein DnaJ"
ABUW_0038	ABUW_0038	0	46497	46847	-1	0	0	351	0	"hypothetical protein"
ABUW_0039	dapB	0	47032	47853	1	0	0	822	0	"dihydrodipicolinate reductase"
ABUW_0040	ABUW_0040	0	47905	48558	1	0	0	654	0	"hypothetical protein"
ABUW_0041	ABUW_0041	0	48599	49789	-1	0	0	1191	0	"major facilitator family transporter"
ABUW_0042	alrA	0	49794	50597	-1	0	0	804	0	"aldo/keto reductase"
ABUW_0043	ABUW_0043	0	50718	51620	1	0	0	903	0	"transcriptional regulator, LysR family"
ABUW_0044	ABUW_0044	0	51604	51978	-1	0	0	375	0	"hypothetical protein"
ABUW_0045	ABUW_0045	0	52069	53493	1	0	0	1425	0	"transcriptional regulator, GntR family"
ABUW_0046	ABUW_0046	0	53496	54524	-1	0	0	1029	0	"hypothetical protein"
ABUW_0047	tag	0	54563	55123	-1	0	0	561	0	"DNA-3-methyladenine glycosylase 1"
ABUW_0048	ABUW_0048	0	55154	55399	-1	0	0	246	0	"hypothetical protein"
ABUW_0049	ABUW_0049	0	55409	55945	-1	0	0	537	0	peptidase
ABUW_0050	mutY	0	55993	57027	-1	0	0	1035	0	"A/G-specific adenine glycosylase"
ABUW_0051	ABUW_0051	0	57168	57530	-1	0	0	363	0	"histidine triad protein"
ABUW_0052	ABUW_0052	0	57715	58452	-1	0	0	738	0	"dienelactone hydrolase"
ABUW_0053	ABUW_0053	0	58624	58782	-1	0	0	159	0	"UPF0391 membrane protein"
ABUW_0054	ABUW_0054	0	58977	59435	1	0	0	459	0	"hypothetical protein"
ABUW_0055	ABUW_0055	0	59548	60717	1	0	0	1170	0	"glucose sorbosone dehydrogenase"
ABUW_0056	ABUW_0056	0	60823	62088	1	0	0	1266	0	"ATPase, AAA family"
ABUW_0057	ABUW_0057	0	62104	62943	-1	0	0	840	0	"formate/nitrite transporter family"
ABUW_0058	ABUW_0058	0	63229	63432	-1	0	0	204	0	"hypothetical protein"
ABUW_0059	purC	0	63622	64341	-1	0	0	720	0	"phosphoribosylaminoimidazole-succinocarboxamide synthase"
ABUW_0060	ABUW_0060	0	64378	64983	-1	0	0	606	0	"hypothetical protein"
ABUW_0061	dapA	0	64996	65889	-1	0	0	894	0	"dihydrodipicolinate synthase"
ABUW_0062	pncA	0	66219	66863	1	0	0	645	0	nicotinamidase
ABUW_0063	ABUW_0063	0	66918	67856	1	0	0	939	0	"bile acid:sodium symporter"
ABUW_0064	ABUW_0064	0	68034	69377	1	0	0	1344	0	"MATE family drug transporter"
ABUW_0065	ABUW_0065	0	69387	69860	-1	0	0	474	0	"hypothetical protein"
ABUW_0066	hppD	0	70383	71438	1	0	0	1056	0	"4-hydroxyphenylpyruvate dioxygenase"
ABUW_0067	hmgR	0	71503	72282	-1	0	0	780	0	"transcriptional regulator, IclR family"
ABUW_0068	ABUW_0068	0	72582	73130	-1	0	0	549	0	"glyoxalase/bleomycin resistance protein/dioxygenase"
ABUW_0069	maiA	0	73148	73780	-1	0	0	633	0	"maleylacetoacetate isomerase"
ABUW_0070	fahA	0	73767	75074	-1	0	0	1308	0	fumarylacetoacetase
ABUW_0071	aroP1	0	75433	76821	1	0	0	1389	0	"aromatic amino acid transport protein"
ABUW_0072	ABUW_0072	0	76984	77667	1	0	0	684	0	"peptidase M15 family"
ABUW_0073	ABUW_0073	0	77810	79075	1	0	0	1266	0	"CobW/P47K family protein"
ABUW_0074	ABUW_0074	0	79110	80222	-1	0	0	1113	0	"acyltransferase 3"
ABUW_0075	hutC	0	80575	81327	1	0	0	753	0	"histidine utilization repressor"
ABUW_0076	ABUW_0076	0	81324	81899	1	0	0	576	0	"hypothetical protein"
ABUW_0077	hutU	0	82151	83827	1	2	0.000662251655629139	1677	1	"urocanate hydratase"
ABUW_0078	hutH	0	83915	85453	1	0	0	1539	0	"histidine ammonia-lyase"
ABUW_0079	ABUW_0079	0	85518	86930	1	0	0	1413	0	"proline-specific permease ProY"
ABUW_0080	hutI	0	86982	88187	1	0	0	1206	0	imidazolonepropionase
ABUW_0081	hutG	0	88165	89118	1	0	0	954	0	formimidoylglutamase
ABUW_0082	ABUW_0082	0	89373	91199	1	0	0	1827	0	"hypothetical protein"
ABUW_0083	ABUW_0083	0	91299	91937	1	0	0	639	0	"haloacid dehydrogenase"
ABUW_0084	murI1	0	91961	92761	1	0	0	801	0	"glutamate racemase"
ABUW_0085	ABUW_0085	0	93475	93759	1	0	0	285	0	"hypothetical protein"
ABUW_0086	ABUW_0086	0	94238	95305	1	0	0	1068	0	"DNA cytosine methyltransferase"
ABUW_0087	ABUW_0087	0	95292	98285	1	0	0	2994	0	"histidine kinase"
ABUW_0088	ABUW_0088	0	98290	99990	1	0	0	1701	0	"hypothetical protein"
ABUW_0089	glmS	0	100659	102497	-1	0	0	1839	0	"glutamine-fructose-6-phosphate transaminase (isomerizing)"
ABUW_0090	glmU	0	102510	103874	-1	0	0	1365	0	"UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase"
ABUW_0091	pgpA	0	103891	104406	-1	0	0	516	0	"phosphatidylglycerophosphatase A"
ABUW_0092	thiL	0	104384	105301	-1	0	0	918	0	"thiamine-monophosphate kinase"
ABUW_0093	nusB	0	105317	105766	-1	0	0	450	0	"transcription antitermination factor NusB"
ABUW_0094	ribH	0	105770	106240	-1	0	0	471	0	"6,7-dimethyl-8-ribityllumazine synthase"
ABUW_0095	ribB1	0	106252	107373	-1	0	0	1122	0	"3,4-dihydroxy-2-butanone 4-phosphate synthase"
ABUW_0096	ABUW_0096	0	107613	108902	-1	0	0	1290	0	"hypothetical protein"
ABUW_0097	serB	0	108980	110203	1	0	0	1224	0	"phosphoserine phosphatase"
ABUW_0098	ABUW_0098	0	110613	110948	1	0	0	336	0	"hypothetical protein"
ABUW_0099	ABUW_0099	0	111202	111681	1	0	0	480	0	"hypothetical protein"
ABUW_0100	dtd	0	111721	112164	-1	0	0	444	0	"D-tyrosyl-tRNA(Tyr) deacylase"
ABUW_0101	pncB	0	112333	113547	1	0	0	1215	0	"nicotinate phosphoribosyltransferase"
ABUW_0102	ABUW_0102	0	113698	114546	1	0	0	849	0	"hypothetical protein"
ABUW_0103	psd	0	114543	115394	1	0	0	852	0	"phosphatidylserine decarboxylase"
ABUW_0104	ABUW_0104	0	115613	116809	1	0	0	1197	0	"hypothetical protein"
ABUW_0105	phoR	0	116879	118237	-1	0	0	1359	0	"phosphate regulon sensor kinase PhoR"
ABUW_0106	phoB	0	118247	118957	-1	0	0	711	0	"phosphate regulon transcriptional regulatory protein PhoB"
ABUW_0107	ABUW_0107	0	119213	119884	-1	0	0	672	0	"transcriptional regulator, TetR family"
ABUW_0108	ABUW_0108	0	120081	120914	1	0	0	834	0	"short-chain dehydrogenase/reductase"
ABUW_0109	ABUW_0109	0	120971	122338	-1	0	0	1368	0	"MATE efflux family protein"
ABUW_0110	ABUW_0110	0	122445	123599	-1	0	0	1155	0	"putative aminotransferase"
ABUW_0111	ABUW_0111	0	123627	124937	-1	0	0	1311	0	"hypothetical protein"
ABUW_0112	ABUW_0112	0	124951	125514	-1	0	0	564	0	"hypothetical protein"
ABUW_0113	ABUW_0113	0	125574	126113	-1	0	0	540	0	"hypothetical protein"
ABUW_0114	gshA	0	126282	127859	1	0	0	1578	0	"glutamate--cysteine ligase"
ABUW_0115	dsbB	0	127874	128389	1	0	0	516	0	"disulfide bond formation protein"
ABUW_0116	ABUW_0116	0	128555	131860	1	0	0	3306	0	"hypothetical protein"
ABUW_0117	ABUW_0117	0	131872	133620	1	0	0	1749	0	"hypothetical protein"
ABUW_0118	ABUW_0118	0	133642	134100	1	0	0	459	0	"hypothetical protein"
ABUW_0119	ABUW_0119	0	134102	134458	1	0	0	357	0	"hypothetical protein"
ABUW_0120	ABUW_0120	0	134555	135292	1	0	0	738	0	"hypothetical protein"
ABUW_0121	ABUW_0121	0	135405	136130	1	0	0	726	0	"hypothetical protein"
ABUW_0122	ABUW_0122	0	136197	137540	-1	0	0	1344	0	"PGAP1 family protein"
ABUW_0123	ABUW_0123	0	137752	138333	1	0	0	582	0	"putative esterase"
ABUW_0124	parE	0	138348	140231	1	0	0	1884	0	"DNA topoisomerase IV, B subunit"
ABUW_0125	allA	0	140353	140856	-1	0	0	504	0	"ureidoglycolate hydrolase"
ABUW_0126	allC	0	140853	141863	-1	0	0	1011	0	allantoicase
ABUW_0127	ABUW_0127	0	142063	143220	1	0	0	1158	0	"monooxygenase, FAD-binding"
ABUW_0128	ABUW_0128	0	143273	143998	-1	0	0	726	0	"hypothetical protein"
ABUW_0129	ABUW_0129	0	144121	145488	-1	0	0	1368	0	"uracil-xanthine permease"
ABUW_0130	uraH1	0	145513	145836	-1	0	0	324	0	transthyretin
ABUW_0131	ABUW_0131	0	145833	146336	-1	0	0	504	0	"2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase"
ABUW_0132	ABUW_0132	0	146436	147401	-1	0	0	966	0	"polysaccharide deacetylase"
ABUW_0133	ABUW_0133	0	147654	148004	1	0	0	351	0	"hypothetical protein"
ABUW_0134	ABUW_0134	0	148157	148708	1	0	0	552	0	"hypothetical protein"
ABUW_0135	ABUW_0135	0	148721	149488	1	0	0	768	0	"hypothetical protein"
